id;amount_of_cart_net;amount_of_cart_gross;amount_of_shipment_net;amount_of_shipment_gross;amount_of_order_net;amount_of_order_gross;quantity
1;5664.9;25514.15;2903.09;26100.14;32235.56;12457.22;19073
2;5376.1;13042.41;22533.57;1486.39;488.41;30310.48;4171
3;19877.06;17319.94;18069.22;9808.38;12227.13;9801.25;5663
4;26926.41;20816.8;17888.22;27735.35;20852.59;16651.05;32508
5;1612.85;10914.33;29600.63;27358.56;22911.4;30359.49;15693
6;13849.49;13273.33;23100.14;30798.2;1223.13;20869.45;638
7;17966.95;21259.96;3630.69;28803.06;28733.21;27175.54;32279
8;25566.99;32097.61;21745.72;28708.12;28137.74;25444.85;7972
9;27674.86;22284.13;13288.98;23428.12;29291.64;25784.13;20762
10;5886.96;14427;5061.5;6791.86;22195.29;14222.04;6185
